Comment ID,comment,sentiment
71,Completely useless.,Negative
72,Completely useless.,Negative
73,Completely useless.,Negative
74,Really bad.,Negative
75,Great explanation!,Positive
76,Completely useless.,Negative
77,I hated it.,Negative
78,I absolutely loved this!,Positive
79,It’s decent.,Neutral
80,I hated it.,Negative
81,"Could be better, could be worse.",Neutral
82,It's okay.,Neutral
83,"Very helpful, thanks!",Positive
84,So-so experience.,Neutral
85,Really bad.,Negative
86,Nothing special.,Neutral
87,Superb content!,Positive
88,Worst experience ever.,Negative
89,"Fine, I guess.",Neutral
90,"Very helpful, thanks!",Positive
91,Completely useless.,Negative
92,I'm disappointed.,Negative
93,I absolutely loved this!,Positive
94,"Very helpful, thanks!",Positive
95,Worst experience ever.,Negative
96,Excellent quality.,Positive
97,It’s decent.,Neutral
98,It’s alright.,Neutral
99,Highly recommended!,Positive
100,Superb content!,Positive
101,Would not recommend.,Negative
102,Nothing special.,Neutral
103,Great explanation!,Positive
104,Nothing special.,Neutral
105,"Could be better, could be worse.",Neutral
106,This was amazing!,Positive
107,Just average.,Neutral
108,Just average.,Neutral
109,Waste of time.,Negative
110,Excellent quality.,Positive
111,Superb content!,Positive
112,It’s alright.,Neutral
113,Not helpful at all.,Negative
114,Very poor explanation.,Negative
115,This made my day better.,Positive
116,Excellent quality.,Positive
117,This is terrible.,Negative
118,Highly recommended!,Positive
119,Would not recommend.,Negative
120,Highly recommended!,Positive
121,"Could be better, could be worse.",Neutral
122,I absolutely loved this!,Positive
123,It’s decent.,Neutral
124,Waste of time.,Negative
125,Very poor explanation.,Negative
126,Highly recommended!,Positive
127,So-so experience.,Neutral
128,Superb content!,Positive
129,"Fine, I guess.",Neutral
130,Neutral feelings about this.,Neutral
131,Highly recommended!,Positive
132,Nothing special.,Neutral
133,This was amazing!,Positive
134,"Very helpful, thanks!",Positive
135,I hated it.,Negative
136,This is terrible.,Negative
137,"Very helpful, thanks!",Positive
138,It's okay.,Neutral
139,Completely useless.,Negative
140,I'm disappointed.,Negative
141,It’s alright.,Neutral
142,Superb content!,Positive
143,Really bad.,Negative
144,This made my day better.,Positive
145,"Could be better, could be worse.",Neutral
146,Completely useless.,Negative
147,This made my day better.,Positive
148,Waste of time.,Negative
149,Great explanation!,Positive
150,Not helpful at all.,Negative
151,Really appreciate this.,Positive
152,Superb content!,Positive
153,I'm disappointed.,Negative
154,"Fine, I guess.",Neutral
155,Really appreciate this.,Positive
156,This made my day better.,Positive
157,This made my day better.,Positive
158,Great explanation!,Positive
159,"Fine, I guess.",Neutral
160,This made my day better.,Positive
161,"Could be better, could be worse.",Neutral
162,"Very helpful, thanks!",Positive
163,It's okay.,Neutral
164,"Very helpful, thanks!",Positive
165,Great explanation!,Positive
166,Completely useless.,Negative
167,"Fine, I guess.",Neutral
168,Would not recommend.,Negative
169,Neutral feelings about this.,Neutral
170,Neutral feelings about this.,Neutral
171,"Could be better, could be worse.",Neutral
172,So-so experience.,Neutral
173,Nothing special.,Neutral
174,Not helpful at all.,Negative
175,This made my day better.,Positive
176,I absolutely loved this!,Positive
177,Brilliant work!,Positive
178,I'm disappointed.,Negative
179,Highly recommended!,Positive
180,Nothing special.,Neutral
181,So-so experience.,Neutral
182,Nothing special.,Neutral
183,I absolutely loved this!,Positive
184,Brilliant work!,Positive
185,I absolutely loved this!,Positive
186,Not helpful at all.,Negative
187,This is terrible.,Negative
188,I neither liked nor disliked it.,Neutral
189,I absolutely loved this!,Positive
190,Excellent quality.,Positive
191,This made my day better.,Positive
192,Highly recommended!,Positive
193,Just average.,Neutral
194,Just average.,Neutral
195,"Fine, I guess.",Neutral
196,Waste of time.,Negative
197,Really appreciate this.,Positive
198,Superb content!,Positive
199,Not helpful at all.,Negative
200,This made my day better.,Positive
201,I hated it.,Negative
202,Completely useless.,Negative
203,I neither liked nor disliked it.,Neutral
204,"Very helpful, thanks!",Positive
205,Nothing special.,Neutral
206,Completely useless.,Negative
207,Highly recommended!,Positive
208,Highly recommended!,Positive
209,Worst experience ever.,Negative
210,I neither liked nor disliked it.,Neutral
211,I hated it.,Negative
212,Would not recommend.,Negative
213,Just average.,Neutral
214,Highly recommended!,Positive
215,This was amazing!,Positive
216,Excellent quality.,Positive
217,Highly recommended!,Positive
218,This is terrible.,Negative
219,I absolutely loved this!,Positive
220,I neither liked nor disliked it.,Neutral
221,This made my day better.,Positive
222,I absolutely loved this!,Positive
223,Would not recommend.,Negative
224,Would not recommend.,Negative
225,Neutral feelings about this.,Neutral
226,Would not recommend.,Negative
227,Excellent quality.,Positive
228,Highly recommended!,Positive
229,"Could be better, could be worse.",Neutral
230,Brilliant work!,Positive
231,Really appreciate this.,Positive
232,"Very helpful, thanks!",Positive
233,Really bad.,Negative
234,Would not recommend.,Negative
235,Brilliant work!,Positive
236,Not helpful at all.,Negative
237,I'm disappointed.,Negative
238,I hated it.,Negative
239,Neutral feelings about this.,Neutral
240,Brilliant work!,Positive
241,Great explanation!,Positive
242,Great explanation!,Positive
243,"Fine, I guess.",Neutral
244,Nothing special.,Neutral
245,Not helpful at all.,Negative
246,Really bad.,Negative
247,Great explanation!,Positive
248,I'm disappointed.,Negative
249,Great explanation!,Positive
250,Highly recommended!,Positive
251,This was amazing!,Positive
252,So-so experience.,Neutral
253,Nothing special.,Neutral
254,Nothing special.,Neutral
255,Really bad.,Negative
256,"Could be better, could be worse.",Neutral
257,It's okay.,Neutral
258,Would not recommend.,Negative
259,It's okay.,Neutral
260,Really appreciate this.,Positive
261,"Very helpful, thanks!",Positive
262,Superb content!,Positive
263,It’s decent.,Neutral
264,I absolutely loved this!,Positive
265,Really bad.,Negative
266,It’s alright.,Neutral
267,Great explanation!,Positive
268,Superb content!,Positive
269,Really appreciate this.,Positive
270,I absolutely loved this!,Positive
271,Just average.,Neutral
272,Not helpful at all.,Negative
273,Nothing special.,Neutral
274,Very poor explanation.,Negative
275,Highly recommended!,Positive
276,I hated it.,Negative
277,I hated it.,Negative
278,It’s decent.,Neutral
279,I hated it.,Negative
280,Waste of time.,Negative
281,It’s decent.,Neutral
282,"Fine, I guess.",Neutral
283,I hated it.,Negative
284,Completely useless.,Negative
285,Not helpful at all.,Negative
286,Nothing special.,Neutral
287,It’s alright.,Neutral
288,Not helpful at all.,Negative
289,Nothing special.,Neutral
290,Superb content!,Positive
291,I'm disappointed.,Negative
292,This made my day better.,Positive
293,This made my day better.,Positive
294,It’s alright.,Neutral
295,Excellent quality.,Positive
296,I hated it.,Negative
297,Just average.,Neutral
298,This was amazing!,Positive
299,It’s alright.,Neutral
300,Highly recommended!,Positive
301,It’s alright.,Neutral
302,Waste of time.,Negative
303,So-so experience.,Neutral
304,Excellent quality.,Positive
305,Excellent quality.,Positive
306,Really appreciate this.,Positive
307,Nothing special.,Neutral
308,Completely useless.,Negative
309,I neither liked nor disliked it.,Neutral
310,I absolutely loved this!,Positive
311,Really appreciate this.,Positive
312,This made my day better.,Positive
313,Superb content!,Positive
314,So-so experience.,Neutral
315,Neutral feelings about this.,Neutral
316,Not helpful at all.,Negative
317,Nothing special.,Neutral
318,It’s decent.,Neutral
319,Nothing special.,Neutral
320,Neutral feelings about this.,Neutral
321,Very poor explanation.,Negative
322,It’s decent.,Neutral
323,Brilliant work!,Positive
324,Brilliant work!,Positive
325,Really appreciate this.,Positive
326,Neutral feelings about this.,Neutral
327,It’s alright.,Neutral
328,It’s alright.,Neutral
329,So-so experience.,Neutral
330,Highly recommended!,Positive
331,Excellent quality.,Positive
332,This was amazing!,Positive
333,Really appreciate this.,Positive
334,So-so experience.,Neutral
335,Very poor explanation.,Negative
336,Nothing special.,Neutral
337,Highly recommended!,Positive
338,"Fine, I guess.",Neutral
339,I'm disappointed.,Negative
340,Not helpful at all.,Negative
341,Highly recommended!,Positive
342,I absolutely loved this!,Positive
343,"Fine, I guess.",Neutral
344,"Very helpful, thanks!",Positive
345,This made my day better.,Positive
346,So-so experience.,Neutral
347,Worst experience ever.,Negative
348,I'm disappointed.,Negative
349,Superb content!,Positive
350,"Very helpful, thanks!",Positive
351,I hated it.,Negative
352,It’s decent.,Neutral
353,I neither liked nor disliked it.,Neutral
354,Waste of time.,Negative
355,"Fine, I guess.",Neutral
356,Superb content!,Positive
357,"Could be better, could be worse.",Neutral
358,I neither liked nor disliked it.,Neutral
359,Just average.,Neutral
360,Completely useless.,Negative
361,Waste of time.,Negative
362,I'm disappointed.,Negative
363,Nothing special.,Neutral
364,"Fine, I guess.",Neutral
365,This made my day better.,Positive
366,It’s decent.,Neutral
367,"Fine, I guess.",Neutral
368,Really appreciate this.,Positive
369,Would not recommend.,Negative
370,It’s alright.,Neutral
371,Nothing special.,Neutral
372,"Very helpful, thanks!",Positive
373,I neither liked nor disliked it.,Neutral
374,I'm disappointed.,Negative
375,It's okay.,Neutral
376,It’s alright.,Neutral
377,I neither liked nor disliked it.,Neutral
378,Superb content!,Positive
379,Great explanation!,Positive
380,Worst experience ever.,Negative
381,Really bad.,Negative
382,I hated it.,Negative
383,This made my day better.,Positive
384,Very poor explanation.,Negative
385,Just average.,Neutral
386,This is terrible.,Negative
387,I neither liked nor disliked it.,Neutral
388,I neither liked nor disliked it.,Neutral
389,This was amazing!,Positive
390,Very poor explanation.,Negative
391,It's okay.,Neutral
392,I absolutely loved this!,Positive
393,Nothing special.,Neutral
394,I'm disappointed.,Negative
395,Nothing special.,Neutral
396,This made my day better.,Positive
397,Not helpful at all.,Negative
398,This made my day better.,Positive
399,Waste of time.,Negative
400,Worst experience ever.,Negative
401,Really appreciate this.,Positive
402,Very poor explanation.,Negative
403,This is terrible.,Negative
404,Superb content!,Positive
405,Superb content!,Positive
406,Highly recommended!,Positive
407,This made my day better.,Positive
408,Waste of time.,Negative
409,I neither liked nor disliked it.,Neutral
410,Really appreciate this.,Positive
411,Superb content!,Positive
412,This is terrible.,Negative
413,This was amazing!,Positive
414,Excellent quality.,Positive
415,I'm disappointed.,Negative
416,Excellent quality.,Positive
417,Would not recommend.,Negative
418,I'm disappointed.,Negative
419,Brilliant work!,Positive
420,Highly recommended!,Positive
421,Not helpful at all.,Negative
422,Excellent quality.,Positive
423,This made my day better.,Positive
424,It’s decent.,Neutral
425,Would not recommend.,Negative
426,Really bad.,Negative
427,"Very helpful, thanks!",Positive
428,Not helpful at all.,Negative
429,Brilliant work!,Positive
430,Excellent quality.,Positive
431,"Very helpful, thanks!",Positive
432,Waste of time.,Negative
433,Highly recommended!,Positive
434,Would not recommend.,Negative
435,This was amazing!,Positive
436,Very poor explanation.,Negative
437,It’s decent.,Neutral
438,Really appreciate this.,Positive
439,"Fine, I guess.",Neutral
440,So-so experience.,Neutral
441,This was amazing!,Positive
442,I neither liked nor disliked it.,Neutral
443,I hated it.,Negative
444,"Very helpful, thanks!",Positive
445,Just average.,Neutral
446,Waste of time.,Negative
447,Excellent quality.,Positive
448,"Very helpful, thanks!",Positive
449,This is terrible.,Negative
450,This made my day better.,Positive
451,This was amazing!,Positive
452,Nothing special.,Neutral
453,Superb content!,Positive
454,It’s alright.,Neutral
455,Nothing special.,Neutral
456,Very poor explanation.,Negative
457,I'm disappointed.,Negative
458,This was amazing!,Positive
459,So-so experience.,Neutral
460,Brilliant work!,Positive
461,"Very helpful, thanks!",Positive
462,Neutral feelings about this.,Neutral
463,"Very helpful, thanks!",Positive
464,Really appreciate this.,Positive
465,This is terrible.,Negative
466,Really bad.,Negative
467,This made my day better.,Positive
468,Brilliant work!,Positive
469,Waste of time.,Negative
470,"Very helpful, thanks!",Positive
471,I absolutely loved this!,Positive
472,This made my day better.,Positive
473,Brilliant work!,Positive
474,Brilliant work!,Positive
475,Brilliant work!,Positive
476,This made my day better.,Positive
477,Just average.,Neutral
478,Nothing special.,Neutral
479,Worst experience ever.,Negative
480,I absolutely loved this!,Positive
481,So-so experience.,Neutral
482,This is terrible.,Negative
483,Would not recommend.,Negative
484,So-so experience.,Neutral
485,Nothing special.,Neutral
486,Great explanation!,Positive
487,It's okay.,Neutral
488,Great explanation!,Positive
489,Worst experience ever.,Negative
490,Really bad.,Negative
491,So-so experience.,Neutral
492,I hated it.,Negative
493,Worst experience ever.,Negative
494,Brilliant work!,Positive
495,This was amazing!,Positive
496,Brilliant work!,Positive
497,I absolutely loved this!,Positive
498,"Very helpful, thanks!",Positive
499,Excellent quality.,Positive
500,This was amazing!,Positive
501,Would not recommend.,Negative
502,Would not recommend.,Negative
503,I'm disappointed.,Negative
504,"Very helpful, thanks!",Positive
505,Very poor explanation.,Negative
506,Not helpful at all.,Negative
507,Would not recommend.,Negative
508,This was amazing!,Positive
509,Would not recommend.,Negative
510,Great explanation!,Positive
511,So-so experience.,Neutral
512,"Very helpful, thanks!",Positive
513,Highly recommended!,Positive
514,Completely useless.,Negative
515,Nothing special.,Neutral
516,It’s decent.,Neutral
517,Great explanation!,Positive
518,Really appreciate this.,Positive
519,Not helpful at all.,Negative
520,I absolutely loved this!,Positive
521,Not helpful at all.,Negative
522,Neutral feelings about this.,Neutral
523,"Could be better, could be worse.",Neutral
524,Worst experience ever.,Negative
525,Really bad.,Negative
526,It’s decent.,Neutral
527,Not helpful at all.,Negative
528,It’s alright.,Neutral
529,"Very helpful, thanks!",Positive
530,I neither liked nor disliked it.,Neutral
531,Nothing special.,Neutral
532,This was amazing!,Positive
533,Excellent quality.,Positive
534,Really bad.,Negative
535,Highly recommended!,Positive
536,Brilliant work!,Positive
537,I'm disappointed.,Negative
538,"Could be better, could be worse.",Neutral
539,Not helpful at all.,Negative
540,It's okay.,Neutral
541,Brilliant work!,Positive
542,Great explanation!,Positive
543,"Fine, I guess.",Neutral
544,"Very helpful, thanks!",Positive
545,This made my day better.,Positive
546,I'm disappointed.,Negative
547,"Could be better, could be worse.",Neutral
548,This was amazing!,Positive
549,Really bad.,Negative
550,Waste of time.,Negative
551,"Fine, I guess.",Neutral
552,This is terrible.,Negative
553,This is terrible.,Negative
554,Nothing special.,Neutral
555,I hated it.,Negative
556,Worst experience ever.,Negative
557,Brilliant work!,Positive
558,Really bad.,Negative
559,I absolutely loved this!,Positive
560,Superb content!,Positive
561,Not helpful at all.,Negative
562,I hated it.,Negative
563,"Very helpful, thanks!",Positive
564,Not helpful at all.,Negative
565,I'm disappointed.,Negative
566,Superb content!,Positive
567,I absolutely loved this!,Positive
568,"Very helpful, thanks!",Positive
569,This was amazing!,Positive
570,I'm disappointed.,Negative
571,Very poor explanation.,Negative
572,Very poor explanation.,Negative
573,Great explanation!,Positive
574,Great explanation!,Positive
575,It’s alright.,Neutral
576,I absolutely loved this!,Positive
577,I absolutely loved this!,Positive
578,"Could be better, could be worse.",Neutral
579,This was amazing!,Positive
580,It's okay.,Neutral
581,This made my day better.,Positive
582,It's okay.,Neutral
583,I'm disappointed.,Negative
584,Really bad.,Negative
585,Neutral feelings about this.,Neutral
586,Completely useless.,Negative
587,Really bad.,Negative
588,Great explanation!,Positive
589,It’s alright.,Neutral
590,Excellent quality.,Positive
591,It’s alright.,Neutral
592,Highly recommended!,Positive
593,"Could be better, could be worse.",Neutral
594,This is terrible.,Negative
595,"Fine, I guess.",Neutral
596,Not helpful at all.,Negative
597,"Very helpful, thanks!",Positive
598,This made my day better.,Positive
599,I hated it.,Negative
600,Really bad.,Negative
601,Really bad.,Negative
602,Very poor explanation.,Negative
603,I'm disappointed.,Negative
604,Just average.,Neutral
605,Really bad.,Negative
606,This is terrible.,Negative
607,It's okay.,Neutral
608,Really appreciate this.,Positive
609,Completely useless.,Negative
610,This made my day better.,Positive
611,Worst experience ever.,Negative
612,Really appreciate this.,Positive
613,Completely useless.,Negative
614,Very poor explanation.,Negative
615,Brilliant work!,Positive
616,"Fine, I guess.",Neutral
617,"Fine, I guess.",Neutral
618,Worst experience ever.,Negative
619,Nothing special.,Neutral
620,Very poor explanation.,Negative
621,Great explanation!,Positive
622,Nothing special.,Neutral
623,Very poor explanation.,Negative
624,This made my day better.,Positive
625,It’s decent.,Neutral
626,Very poor explanation.,Negative
627,It’s alright.,Neutral
628,Really bad.,Negative
629,So-so experience.,Neutral
630,It's okay.,Neutral
631,Excellent quality.,Positive
632,Excellent quality.,Positive
633,I hated it.,Negative
634,"Fine, I guess.",Neutral
635,"Fine, I guess.",Neutral
636,Nothing special.,Neutral
637,It’s alright.,Neutral
638,"Could be better, could be worse.",Neutral
639,This is terrible.,Negative
640,Brilliant work!,Positive
641,Not helpful at all.,Negative
642,"Very helpful, thanks!",Positive
643,So-so experience.,Neutral
644,I hated it.,Negative
645,So-so experience.,Neutral
646,Brilliant work!,Positive
647,Waste of time.,Negative
648,I'm disappointed.,Negative
649,Nothing special.,Neutral
650,I neither liked nor disliked it.,Neutral
651,It’s decent.,Neutral
652,I hated it.,Negative
653,Excellent quality.,Positive
654,I hated it.,Negative
655,Really appreciate this.,Positive
656,This made my day better.,Positive
657,Superb content!,Positive
658,I neither liked nor disliked it.,Neutral
659,Really appreciate this.,Positive
660,Highly recommended!,Positive
661,It’s alright.,Neutral
662,This was amazing!,Positive
663,Excellent quality.,Positive
664,Excellent quality.,Positive
665,Great explanation!,Positive
666,This is terrible.,Negative
667,I'm disappointed.,Negative
668,Neutral feelings about this.,Neutral
669,This made my day better.,Positive
670,Great explanation!,Positive
671,Really bad.,Negative
672,I hated it.,Negative
673,Superb content!,Positive
674,Worst experience ever.,Negative
675,Nothing special.,Neutral
676,So-so experience.,Neutral
677,This was amazing!,Positive
678,Just average.,Neutral
679,Great explanation!,Positive
680,"Could be better, could be worse.",Neutral
681,Very poor explanation.,Negative
682,Neutral feelings about this.,Neutral
683,"Could be better, could be worse.",Neutral
684,I absolutely loved this!,Positive
685,"Very helpful, thanks!",Positive
686,I hated it.,Negative
687,This made my day better.,Positive
688,Really bad.,Negative
689,It's okay.,Neutral
690,Highly recommended!,Positive
691,Neutral feelings about this.,Neutral
692,Great explanation!,Positive
693,Very poor explanation.,Negative
694,"Very helpful, thanks!",Positive
695,I hated it.,Negative
696,Excellent quality.,Positive
697,Excellent quality.,Positive
698,Brilliant work!,Positive
699,"Very helpful, thanks!",Positive
700,This made my day better.,Positive
701,Brilliant work!,Positive
702,Excellent quality.,Positive
703,I neither liked nor disliked it.,Neutral
704,Really bad.,Negative
705,Not helpful at all.,Negative
706,This is terrible.,Negative
707,Worst experience ever.,Negative
708,Excellent quality.,Positive
709,I hated it.,Negative
710,I'm disappointed.,Negative
711,"Fine, I guess.",Neutral
712,Very poor explanation.,Negative
713,Completely useless.,Negative
714,Would not recommend.,Negative
715,Worst experience ever.,Negative
716,Not helpful at all.,Negative
717,It’s alright.,Neutral
718,Great explanation!,Positive
719,Brilliant work!,Positive
720,Highly recommended!,Positive
721,Not helpful at all.,Negative
722,I hated it.,Negative
723,This is terrible.,Negative
724,Completely useless.,Negative
725,This made my day better.,Positive
726,Great explanation!,Positive
727,This is terrible.,Negative
728,Completely useless.,Negative
729,Neutral feelings about this.,Neutral
730,I absolutely loved this!,Positive
731,Brilliant work!,Positive
732,Superb content!,Positive
733,Superb content!,Positive
734,Very poor explanation.,Negative
735,Worst experience ever.,Negative
736,Would not recommend.,Negative
737,Superb content!,Positive
738,Superb content!,Positive
739,This was amazing!,Positive
740,This made my day better.,Positive
741,Really appreciate this.,Positive
742,Waste of time.,Negative
743,It’s decent.,Neutral
744,"Could be better, could be worse.",Neutral
745,Really bad.,Negative
746,Would not recommend.,Negative
747,Just average.,Neutral
748,This was amazing!,Positive
749,Excellent quality.,Positive
750,Would not recommend.,Negative
751,Really appreciate this.,Positive
752,I hated it.,Negative
753,I absolutely loved this!,Positive
754,Great explanation!,Positive
755,Worst experience ever.,Negative
756,This is terrible.,Negative
757,Excellent quality.,Positive
758,I hated it.,Negative
759,Excellent quality.,Positive
760,I'm disappointed.,Negative
761,This made my day better.,Positive
762,Worst experience ever.,Negative
763,It’s decent.,Neutral
764,Highly recommended!,Positive
765,This was amazing!,Positive
766,Highly recommended!,Positive
767,Excellent quality.,Positive
768,This made my day better.,Positive
769,Excellent quality.,Positive
770,Worst experience ever.,Negative
771,Highly recommended!,Positive
772,"Very helpful, thanks!",Positive
773,It's okay.,Neutral
774,Really appreciate this.,Positive
775,Superb content!,Positive
776,I neither liked nor disliked it.,Neutral
777,I neither liked nor disliked it.,Neutral
778,This is terrible.,Negative
779,I'm disappointed.,Negative
780,"Very helpful, thanks!",Positive
781,Superb content!,Positive
782,Worst experience ever.,Negative
783,Neutral feelings about this.,Neutral
784,I absolutely loved this!,Positive
785,Great explanation!,Positive
786,I hated it.,Negative
787,I absolutely loved this!,Positive
788,Really appreciate this.,Positive
789,Highly recommended!,Positive
790,I absolutely loved this!,Positive
791,Brilliant work!,Positive
792,Superb content!,Positive
793,Really bad.,Negative
794,So-so experience.,Neutral
795,Great explanation!,Positive
796,Worst experience ever.,Negative
797,It's okay.,Neutral
798,Superb content!,Positive
799,Waste of time.,Negative
800,Would not recommend.,Negative
801,Highly recommended!,Positive
802,Excellent quality.,Positive
803,Neutral feelings about this.,Neutral
804,"Could be better, could be worse.",Neutral
805,Waste of time.,Negative
806,Really appreciate this.,Positive
807,Waste of time.,Negative
808,It’s alright.,Neutral
809,Highly recommended!,Positive
810,Waste of time.,Negative
811,This was amazing!,Positive
812,I'm disappointed.,Negative
813,Just average.,Neutral
814,Would not recommend.,Negative
815,I'm disappointed.,Negative
816,Nothing special.,Neutral
817,Superb content!,Positive
818,It’s decent.,Neutral
819,It’s decent.,Neutral
820,I'm disappointed.,Negative
821,It’s decent.,Neutral
822,This was amazing!,Positive
823,I absolutely loved this!,Positive
824,I'm disappointed.,Negative
825,Excellent quality.,Positive
826,"Could be better, could be worse.",Neutral
827,Highly recommended!,Positive
828,This was amazing!,Positive
829,Superb content!,Positive
830,I hated it.,Negative
831,This made my day better.,Positive
832,Excellent quality.,Positive
833,Just average.,Neutral
834,Great explanation!,Positive
835,This is terrible.,Negative
836,Waste of time.,Negative
837,"Could be better, could be worse.",Neutral
838,This made my day better.,Positive
839,I neither liked nor disliked it.,Neutral
840,Worst experience ever.,Negative
841,Brilliant work!,Positive
842,It's okay.,Neutral
843,"Very helpful, thanks!",Positive
844,Superb content!,Positive
845,It’s alright.,Neutral
846,Excellent quality.,Positive
847,Waste of time.,Negative
848,Brilliant work!,Positive
849,Would not recommend.,Negative
850,Highly recommended!,Positive
851,It’s decent.,Neutral
852,I absolutely loved this!,Positive
853,Just average.,Neutral
854,Really appreciate this.,Positive
855,"Could be better, could be worse.",Neutral
856,This made my day better.,Positive
857,Neutral feelings about this.,Neutral
858,Great explanation!,Positive
859,So-so experience.,Neutral
860,Really bad.,Negative
861,So-so experience.,Neutral
862,Not helpful at all.,Negative
863,Waste of time.,Negative
864,Brilliant work!,Positive
865,Superb content!,Positive
866,Very poor explanation.,Negative
867,Nothing special.,Neutral
868,Superb content!,Positive
869,Great explanation!,Positive
870,Worst experience ever.,Negative
871,Not helpful at all.,Negative
872,Excellent quality.,Positive
873,Very poor explanation.,Negative
874,Superb content!,Positive
875,Just average.,Neutral
876,This is terrible.,Negative
877,So-so experience.,Neutral
878,Superb content!,Positive
879,Superb content!,Positive
880,Brilliant work!,Positive
881,This was amazing!,Positive
882,Very poor explanation.,Negative
883,This made my day better.,Positive
884,Very poor explanation.,Negative
885,Excellent quality.,Positive
886,Just average.,Neutral
887,Waste of time.,Negative
888,I absolutely loved this!,Positive
889,"Fine, I guess.",Neutral
890,Neutral feelings about this.,Neutral
891,Superb content!,Positive
892,Nothing special.,Neutral
893,Just average.,Neutral
894,This is terrible.,Negative
895,Really bad.,Negative
896,Not helpful at all.,Negative
897,This is terrible.,Negative
898,Nothing special.,Neutral
899,Completely useless.,Negative
900,This was amazing!,Positive
901,I absolutely loved this!,Positive
902,Very poor explanation.,Negative
903,Brilliant work!,Positive
904,Would not recommend.,Negative
905,It’s alright.,Neutral
906,Superb content!,Positive
907,"Could be better, could be worse.",Neutral
908,Waste of time.,Negative
909,I absolutely loved this!,Positive
910,I'm disappointed.,Negative
911,Superb content!,Positive
912,Excellent quality.,Positive
913,Really bad.,Negative
914,Nothing special.,Neutral
915,I hated it.,Negative
916,Great explanation!,Positive
917,So-so experience.,Neutral
918,This is terrible.,Negative
919,Completely useless.,Negative
920,This is terrible.,Negative
921,I neither liked nor disliked it.,Neutral
922,This is terrible.,Negative
923,This is terrible.,Negative
924,Nothing special.,Neutral
925,Excellent quality.,Positive
926,"Fine, I guess.",Neutral
927,Not helpful at all.,Negative
928,Neutral feelings about this.,Neutral
929,Very poor explanation.,Negative
930,It’s decent.,Neutral
931,Worst experience ever.,Negative
932,Would not recommend.,Negative
933,Excellent quality.,Positive
934,Superb content!,Positive
935,It's okay.,Neutral
936,This made my day better.,Positive
937,I neither liked nor disliked it.,Neutral
938,So-so experience.,Neutral
939,It’s alright.,Neutral
940,I neither liked nor disliked it.,Neutral
941,Excellent quality.,Positive
942,Excellent quality.,Positive
943,It's okay.,Neutral
944,So-so experience.,Neutral
945,Would not recommend.,Negative
946,Great explanation!,Positive
947,Very poor explanation.,Negative
948,Very poor explanation.,Negative
949,I'm disappointed.,Negative
950,It’s alright.,Neutral
951,Completely useless.,Negative
952,Waste of time.,Negative
953,Superb content!,Positive
954,I hated it.,Negative
955,Not helpful at all.,Negative
956,Superb content!,Positive
957,Waste of time.,Negative
958,This was amazing!,Positive
959,I hated it.,Negative
960,So-so experience.,Neutral
961,Not helpful at all.,Negative
962,I neither liked nor disliked it.,Neutral
963,I'm disappointed.,Negative
964,Just average.,Neutral
965,Really bad.,Negative
966,Worst experience ever.,Negative
967,Highly recommended!,Positive
968,"Fine, I guess.",Neutral
969,This made my day better.,Positive
970,Superb content!,Positive
971,Completely useless.,Negative
972,I hated it.,Negative
973,Not helpful at all.,Negative
